"ts_code","trade_date","pre_close","pre_settle","open","high","low","close","settle","change1","change2","vol","amount","oi","oi_chg"
"ICL2.CFX","20230630","5908","5912.8","5898","5988.2","5895.6","5972","5970","59.2","57.2","13820","1646628.748","123635",""
"ICL2.CFX","20230629","5913","5902.6","5903","5926.6","5886","5908","5912.8","5.4","10.2","10455","1234684.38","123249",""
"ICL2.CFX","20230628","5903","5909.4","5891.4","5916","5823.2","5913","5902.6","3.6","-6.8","14487","1701624.436","125246",""
"ICL2.CFX","20230627","5875.6","5873.6","5886.2","5921.8","5872.6","5903","5909.4","29.4","35.8","13579","1602546.892","126241",""
"ICL2.CFX","20230626","5963.8","5985","5923.2","5949.2","5862.2","5875.6","5873.6","-109.4","-111.4","17643","2081299.148","128481",""
"ICL2.CFX","20230621","6083.4","6086.4","6072.4","6072.4","5958","5963.8","5985","-122.6","-101.4","17436","2096868.932","128962",""
"ICL2.CFX","20230620","6088","6093.6","6086","6103.4","6067.8","6083.4","6086.4","-10.2","-7.2","10735","1306674.3","126445",""
"ICL2.CFX","20230619","6108","6110.4","6102","6116.4","6084.6","6088","6093.6","-22.4","-16.8","10917","1331276.856","128081",""
"ICL2.CFX","20230616","6057","6056.4","6065","6124","6057","6108","6110.4","51.6","54","16354","1993750.48","129643",""
"ICL2.CFX","20230615","6002","6003.6","6010.2","6069.4","6006.6","6057","6056.4","53.4","52.8","17944","2166137.152","127932",""
"ICL2.CFX","20230614","6002.6","6003.4","6009.4","6026","5994.2","6002","6003.6","-1.4","0.2","19248","2313069.356","125220",""
"ICL2.CFX","20230613","5979.8","5994.8","5974","6010","5971.6","6002.6","6003.4","7.8","8.6","18426","2209599.204","120685",""
"ICL2.CFX","20230612","5970.6","5966.8","5963.8","6010","5952","5979.8","5994.8","13","28","16563","1983195.128","117067",""
"ICL2.CFX","20230609","5918","5915.6","5930.6","5975.8","5915.4","5970.6","5966.8","55","51.2","13335","1584943.108","113048",""
